"KymoButler Version 1.1.3 Summary","pixelsize time= 0.4 sec","pixelsize space= 0.266 um","minimum frames= 3","minimum obj size= 3","threshold= 0.15"
"Direction","Av frame2frame velocity [um/sec]","track duration [sec]","track total displacement [um]","Start2end velocity [um/sec]"
1.,0.5911000000000001,4.,2.128,0.532
1.,0.4434,4.,1.596,0.399
1.,0.4803,7.6000000000000005,3.458,0.455
1.,0.4988,2.,0.798,0.399
1.,0.9500000000000001,3.2,2.66,0.8312
1.,0.5403,6.800000000000001,3.458,0.5085000000000001
1.,0.4434,1.6,0.532,0.3325
1.,0.5225000000000001,6.,2.926,0.4877
1.,0.5911000000000001,11.200000000000001,6.384,0.5700000000000001
1.,0.3325,2.,0.532,0.266
1.,0.532,2.4,1.064,0.4433
-1.,0.1956,7.2,1.33,0.1847
-1.,0.7759,2.8000000000000003,1.862,0.665
-1.,0.24180000000000001,9.200000000000001,2.128,0.2313
-1.,0.4988,5.2,2.394,0.46040000000000003
-1.,0.4156,6.800000000000001,2.66,0.3912
-1.,0.399,4.4,1.596,0.3627
-1.,0.3325,3.6,1.064,0.29560000000000003
-1.,0.4434,1.6,0.532,0.3325
-1.,0.399,8.4,3.192,0.38
-1.,0.37410000000000004,19.6,7.182,0.3664
-1.,0.6175,6.,3.458,0.5763
-1.,0.3325,2.8000000000000003,0.798,0.28500000000000003
-1.,0.665,7.2,4.522,0.6281
-1.,0.29550000000000004,4.,1.064,0.266
-1.,0.41340000000000005,15.200000000000001,6.118,0.4025
-1.,0.22160000000000002,2.8000000000000003,0.532,0.19
-1.,0.266,4.4,1.064,0.24180000000000001
-1.,0.3628,4.8,1.596,0.3325
-1.,0.4988,5.2,2.394,0.46040000000000003
-1.,0.2328,8.4,1.862,0.2217
-1.,0.3022,4.8,1.33,0.2771
-1.,0.2752,12.,3.192,0.266
-1.,0.5115000000000001,5.6000000000000005,2.66,0.47500000000000003
-1.,0.4788,10.4,4.788,0.46040000000000003
