"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29","t [pixel] #30","x [pixel] #30","t [pixel] #31","x [pixel] #31","t [pixel] #32","x [pixel] #32","t [pixel] #33","x [pixel] #33","t [pixel] #34","x [pixel] #34","t [pixel] #35","x [pixel] #35"
21.200000000000003,69.958,27.200000000000003,54.53,29.200000000000003,51.072,32.800000000000004,57.190000000000005,33.2,63.84,47.2,53.2,56.,63.042,59.2,69.16,64.4,64.372,67.2,57.988,84.80000000000001,58.52,0.4,7.182,0.8,19.950000000000003,2.,52.934000000000005,2.8000000000000003,25.270000000000003,4.800000000000001,34.58,7.6000000000000005,14.896,14.,37.24,15.200000000000001,45.22,18.8,30.856,20.,21.28,20.,44.688,39.6,9.842,41.6,22.078000000000003,45.6,26.866,48.,15.428,51.6,6.916,52.400000000000006,16.758000000000003,55.2,3.458,55.2,26.334000000000003,56.,6.118,60.400000000000006,36.974000000000004,65.60000000000001,6.65,71.60000000000001,31.122,78.4,11.704
21.6,70.224,27.6,54.79600000000001,29.6,51.072,33.2,57.456,33.6,64.10600000000001,47.6,53.466,56.400000000000006,63.30800000000001,59.6,69.426,64.8,64.372,67.60000000000001,58.254000000000005,85.2,58.52,0.8,7.182,1.2000000000000002,19.684,2.4000000000000004,52.668000000000006,3.2,25.004,5.2,34.314,8.,14.63,14.4,36.974000000000004,15.600000000000001,44.954,19.200000000000003,30.856,20.400000000000002,21.014000000000003,20.400000000000002,44.156000000000006,40.,9.842,42.,21.812,46.,26.6,48.400000000000006,15.162,52.,6.916,52.800000000000004,16.492,55.6,3.458,55.6,26.068,56.400000000000006,6.118,60.800000000000004,36.974000000000004,66.,6.384,72.,30.856,78.80000000000001,11.438
22.,70.224,28.,55.062000000000005,30.,51.072,33.6,57.456,34.,64.372,48.,53.732,56.800000000000004,63.574000000000005,60.,69.69200000000001,65.2,64.638,68.,58.254000000000005,85.60000000000001,58.786,1.2000000000000002,6.916,1.6,19.418,2.8000000000000003,52.402,3.6,24.738,5.6000000000000005,34.048,8.4,14.364,14.8,36.974000000000004,16.,44.954,19.6,30.590000000000003,20.8,21.014000000000003,20.8,44.156000000000006,40.400000000000006,9.576,42.400000000000006,21.546,46.400000000000006,26.334000000000003,48.800000000000004,15.162,52.400000000000006,6.65,53.2,16.492,56.,3.192,56.,26.068,56.800000000000004,5.852,61.2,36.974000000000004,66.4,6.118,72.4,30.590000000000003,79.2,11.438
22.400000000000002,70.49000000000001,28.400000000000002,55.062000000000005,30.400000000000002,51.338,34.,57.722,34.4,64.904,48.400000000000006,53.998000000000005,57.2,63.574000000000005,60.400000000000006,69.69200000000001,65.60000000000001,64.904,68.4,58.52,86.,59.05200000000001,1.6,6.916,2.,19.152,3.2,52.402,4.,24.472,6.,34.048,8.8,14.098,15.200000000000001,36.708,16.400000000000002,44.688,20.,30.590000000000003,21.200000000000003,20.748,21.200000000000003,43.89,40.800000000000004,9.31,42.800000000000004,21.546,46.800000000000004,26.334000000000003,49.2,14.896,52.800000000000004,6.65,53.6,16.492,56.400000000000006,3.192,56.400000000000006,25.802,57.2,5.852,61.6,36.708,66.8,6.118,72.8,30.324,79.60000000000001,11.172
22.8,70.756,28.8,55.328,30.8,51.604,34.4,57.988,34.800000000000004,65.436,48.800000000000004,54.264,"","",60.800000000000004,69.958,66.,65.17,68.8,58.52,86.4,59.318000000000005,2.,6.65,2.4000000000000004,18.62,3.6,52.136,4.4,24.206000000000003,6.4,33.782000000000004,9.200000000000001,14.098,15.600000000000001,36.708,"","",20.400000000000002,30.324,21.6,20.748,21.6,43.624,41.2,9.31,43.2,21.28,47.2,26.068,49.6,14.896,53.2,6.65,54.,16.226,56.800000000000004,2.926,56.800000000000004,25.536,57.6,5.586,62.,36.442,67.2,5.852,73.2,30.058,80.,10.906
23.200000000000003,71.022,29.200000000000003,55.594,31.200000000000003,51.870000000000005,"","",35.2,65.702,49.2,54.53,"","",61.2,70.224,66.4,65.436,"","",86.80000000000001,59.584,2.4000000000000004,6.65,2.8000000000000003,18.354,4.,51.870000000000005,4.800000000000001,24.206000000000003,6.800000000000001,33.516000000000005,9.600000000000001,13.832,16.,36.442,"","",20.8,30.324,22.,20.482,22.,43.358000000000004,41.6,9.31,43.6,21.014000000000003,47.6,26.068,50.,14.896,53.6,6.384,54.400000000000006,16.226,57.2,2.66,57.2,25.270000000000003,58.,5.586,62.400000000000006,36.442,67.60000000000001,5.586,73.60000000000001,29.792,80.4,10.906
23.6,71.28800000000001,29.6,55.594,31.6,52.136,"","",35.6,65.968,49.6,54.53,"","",61.6,70.49000000000001,66.8,65.702,"","","","",2.8000000000000003,6.384,3.2,18.088,4.4,51.870000000000005,5.2,23.94,7.2,33.516000000000005,10.,13.832,16.400000000000002,36.442,"","",21.200000000000003,30.058,22.400000000000002,20.482,22.400000000000002,43.092,42.,9.044,44.,20.748,48.,25.802,50.400000000000006,14.63,54.,6.384,54.800000000000004,16.226,57.6,2.66,57.6,25.270000000000003,58.400000000000006,5.586,62.800000000000004,36.176,68.,5.586,74.,29.526000000000003,80.80000000000001,10.64
24.,71.554,30.,55.594,32.,52.136,"","",36.,66.5,50.,54.79600000000001,"","",62.,70.756,67.2,65.968,"","","","",3.2,6.384,"","",4.800000000000001,51.870000000000005,5.6000000000000005,23.674,7.6000000000000005,33.25,10.4,13.832,16.8,36.442,"","",21.6,30.058,22.8,20.482,22.8,42.826,"","",44.400000000000006,20.482,48.400000000000006,25.802,50.800000000000004,14.63,"","",55.2,15.96,58.,2.394,58.,25.004,58.800000000000004,5.32,63.2,36.176,68.4,5.32,74.4,29.26,81.2,10.64
24.400000000000002,71.82000000000001,30.400000000000002,55.86,32.4,52.402,"","","","",50.400000000000006,54.79600000000001,"","",62.400000000000006,71.022,67.60000000000001,66.23400000000001,"","","","",3.6,6.384,"","",5.2,51.604,6.,23.674,8.,32.984,10.8,13.566,17.2,36.176,"","",22.,29.792,23.200000000000003,20.216,23.200000000000003,42.56,"","",44.800000000000004,20.216,48.800000000000004,25.802,51.2,14.364,"","",55.6,15.96,58.400000000000006,2.128,58.400000000000006,24.738,59.2,5.32,63.6,36.176,68.8,5.32,74.8,28.994,81.60000000000001,10.374
24.8,72.086,30.8,56.126000000000005,32.800000000000004,52.668000000000006,"","","","",50.800000000000004,55.062000000000005,"","",62.800000000000004,71.022,68.,66.5,"","","","",4.,6.384,"","",5.6000000000000005,51.604,6.4,23.408,8.4,32.984,11.200000000000001,13.566,"","","","",22.400000000000002,29.526000000000003,23.6,20.216,23.6,42.294000000000004,"","",45.2,19.950000000000003,49.2,25.802,51.6,14.364,"","",56.,15.694,58.800000000000004,2.128,58.800000000000004,24.472,59.6,5.054,64.,35.910000000000004,69.2,5.32,75.2,28.994,82.,10.374
"","","","",33.2,52.934000000000005,"","","","",51.2,55.328,"","",63.2,71.28800000000001,68.4,66.766,"","","","",4.4,6.384,"","",6.,51.604,6.800000000000001,23.142000000000003,8.8,32.718,11.600000000000001,13.3,"","","","",22.8,29.26,24.,19.950000000000003,24.,42.028000000000006,"","",45.6,19.684,"","",52.,14.098,"","",56.400000000000006,15.694,59.2,1.862,59.2,24.472,60.,5.054,64.4,35.910000000000004,69.60000000000001,5.054,75.60000000000001,28.728,82.4,10.108
"","","","",33.6,52.934000000000005,"","","","",51.6,55.594,"","",63.6,71.554,68.8,67.03200000000001,"","","","",4.800000000000001,6.118,"","",6.4,51.604,7.2,22.876,9.200000000000001,32.718,"","","","","","",23.200000000000003,28.994,24.400000000000002,19.950000000000003,24.400000000000002,41.762,"","",46.,19.418,"","",52.400000000000006,14.098,"","","","",59.6,1.862,59.6,24.206000000000003,60.400000000000006,5.054,64.8,35.644000000000005,70.,5.054,76.,28.462000000000003,82.80000000000001,9.842
