 ,Label,Mean,Slice
1,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t1,52.49,1
2,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t1,69.74,1
3,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t1,57.47,1
4,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t1,6.79,1
5,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t2,51.02,2
6,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t2,68.34,2
7,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t2,56.29,2
8,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t2,6.33,2
9,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t3,48.45,3
10,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t3,65.69,3
11,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t3,53.85,3
12,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t3,5.35,3
13,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t4,46.90,4
14,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t4,63.81,4
15,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t4,52.23,4
16,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t4,5.04,4
17,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t5,45.99,5
18,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t5,63.32,5
19,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t5,51.44,5
20,210203_LEXY_combined.tif:Cell-04:LEXY-08_w1RFP-BP_t5,5.70,5
21,210203_LEXY_combined.tif:Cell-01:LEXY-08_w1RFP-BP_t6,44.08,6
22,210203_LEXY_combined.tif:Cell-02:LEXY-08_w1RFP-BP_t6,61.16,6
23,210203_LEXY_combined.tif:Cell-03:LEXY-08_w1RFP-BP_t6,50.16,6
